atr,macd,macd_signal,macd_histogram,rsi
-0.22687705361159616,1.0316825233866176,1.0070818167120767,0.2760271805520772,0.6737699438858498
0.11614292609958334,0.9557954131030985,1.0084888192823815,0.017743350112050197,0.589423952691523
0.13535348043829565,0.8488228824714747,0.9869144503600215,-0.2720701307863647,0.5471896491289613
0.13915181829118112,0.7376437708031808,0.9460623320188158,-0.5151779742301826,0.5276459795838198
0.24606455144995865,0.7574244929309136,0.9175781805430077,-0.35920801699585736,0.6234089082669326
0.4602136665367298,0.9543290638663137,0.9365747455562872,0.23956180514662567,0.7230139789906118
0.4886714577680163,1.0722621957176914,0.9767978491068829,0.5072454385140894,0.6966899178231653
0.4582982301282682,1.1366863464776016,1.0226473776254994,0.5781991588138697,0.6802756158328216
0.48497828815045785,1.1351560568013028,1.0590022672492105,0.45846416610970003,0.6396983468327092
0.4899689434231827,1.062069746948883,1.0725769907221254,0.1711880455477165,0.5830504118330235
0.5080049739871937,0.9585072711926753,1.061460424916876,-0.1401888666552184,0.552565165367252
0.40732697746820073,0.8730178812253837,1.0344260040701698,-0.3409257538977126,0.5575478635296219
0.40190957080402334,0.877893325940298,1.0138330549909749,-0.25969364137356826,0.6135012338453927
0.3815627209953915,0.9195366825214525,1.006195571701874,-0.09631485266698948,0.6420578028870467
0.3269309491538614,0.9453444961830366,1.0055620996269947,-0.00798866765697146,0.6443445956221783
0.36044165092794017,0.9749536730742258,1.0113385000144062,0.07284495234713995,0.6567433167742416
0.3022130600272626,0.953328759841201,1.0113707328790629,0.0004064042315696313,0.6185897881049336
0.26026913812856556,0.9743207842856119,1.0158511052486967,0.05650100214843642,0.6505885481388297
0.1849447588382796,0.9770147814576164,1.020007079417367,0.0524100812976775,0.6476915887710112
0.12521162619667334,0.9624298576543862,1.0202368833870987,0.0028979339344429927,0.6409299198910577
0.09910158068301136,0.9859216682190466,1.0254057766024032,0.06518380086733219,0.6727085989551767
0.03401280305140228,1.0025759788894537,1.0330749981706642,0.09671494179991676,0.6791466479445483
0.08908441291223827,1.0675584209008162,1.0529998925944655,0.2512687817284871,0.7182417464651905
0.055982132156086585,1.1293793780515704,1.082058446394241,0.3664515338952355,0.7311673936883851
0.04375161761440564,1.173458081544207,1.114658955128884,0.4111184193849375,0.7360573079565149
0.03813836154052002,1.133727383771569,1.1323083594930896,0.22257303155832747,0.647919446511109
0.04058425271073131,1.1481853360460137,1.149495914516494,0.21674874186565496,0.6869915651806092
0.006478985555845864,1.1369836460600087,1.1608689180362013,0.1434225954392999,0.6743367826432454
-0.061566642900900935,1.1213374164678296,1.1666471324300431,0.07286782841953256,0.6786978356706218
-0.11007365192682256,1.0664706759084286,1.159626776447421,-0.08853238359610768,0.6356815014424868
-0.16213589161028774,1.021300381752059,1.1444251863461152,-0.19170429127522307,0.6440457185612015
-0.22707216738139271,0.982300340458746,1.1239879596784559,-0.25772985717751123,0.6510303901705023
-0.27141555361181297,0.9155745202481854,1.0934787098026402,-0.38474612801135316,0.61221855341104
-0.3553498405757986,0.8482717441824973,1.0547894091705585,-0.4879031125436199,0.6053599820929009
-0.3509631672251297,0.8506903741519473,1.024351210987855,-0.3838501093158966,0.6654538526644889
-0.3577389448925777,0.8072369925704252,0.9907796823945358,-0.4233639126324357,0.6108796432168301
-0.4055126571749694,0.7695947804413138,0.9559346413589378,-0.43942392341038555,0.6164481235560612
-0.4109447761637116,0.6733523139569215,0.9076355972844384,-0.6090896656819615,0.5347268494380188
-0.4242852704000587,0.6249984724934452,0.8587354960675327,-0.6166694771268633,0.5717211985936049
-0.4353965054606754,0.5749157450056948,0.8089876730579124,-0.6273599271575988,0.5650018150780605
-0.45847774817689,0.5060909073046544,0.7545845267486591,-0.6860672784836386,0.5332782803814429
-0.48948308117618167,0.4359857639866551,0.6961854361606188,-0.7364593328169037,0.5192496881177978
-0.4653045282261118,0.327333025723551,0.6264096463697564,-0.8799286117568726,0.4575273153631947
-0.46072214899636843,0.2863039916550769,0.5618825000970015,-0.8137390177866785,0.5185432822163873
-0.3658450447190077,0.35551115809297523,0.5249468025678725,-0.46578877443533084,0.6191858923289633
-0.2917849104945059,0.5234017474805444,0.5310252553685225,0.07665407493681561,0.6961405052197484
-0.1081417801324484,0.8302772618832512,0.6010081491966022,0.882540203401261,0.77238026961202
-0.023132587153457295,1.012486389379819,0.6956599224078708,1.1936345088993967,0.7203377862408393
-0.007375632536022625,1.0682511745159984,0.7832148368916317,1.104137442463661,0.6475111164272623
-0.04124611042754687,1.093720837101116,0.8586635261122426,0.9514682562415198,0.6420987114597081
-0.03504444992647506,1.1650565658340493,0.934160185855672,0.9520732029133477,0.6743448945106545
-0.043963982573665676,1.1894884948956173,0.9997420603501544,0.8270398285442545,0.656490065811948
-0.11797929235539659,1.1933962399836238,1.0530367980647766,0.6720892033571202,0.6549757966435693
-0.135014941719312,1.1161410358220551,1.0792787450502006,0.33093186852408807,0.5882462624093895
-0.1961447779106687,1.0654832338477576,1.0895225276461504,0.12918221615114794,0.6031826464742411
-0.2535463805963525,1.0221657145980918,1.0885254141705734,-0.012574476653124092,0.6090320078979246
-0.287064184485179,0.993829252748569,1.0817146202334182,-0.08588963854147187,0.6210629476465515
-0.3271224266367574,0.9901723644566326,1.075489979714757,-0.07849777497891797,0.6415224106416133
-0.3949521673041866,0.9825957271377224,1.068902476531122,-0.08307376349456189,0.6461680472647757
-0.4624042100513258,0.9705783253744045,1.061082336396042,-0.09861830163042402,0.6500059434992465
-0.4318634784347875,0.885326829066971,1.0367355380095964,-0.30703268442631654,0.5695640332562114
-0.44243341292150973,0.8281223282697376,1.0051190903392098,-0.39870877802073046,0.5865505512604096
-0.46373565266024486,0.8187825828599242,0.9778440033049073,-0.3439607470696456,0.6229029230680069
-0.4496925854938427,0.7650243410191112,0.9446162337526166,-0.4190288360987036,0.5781648431272204
-0.41814527696458065,0.753279403627971,0.9155416984811541,-0.3666532289989457,0.6102906406844145
-0.4303332663500127,0.7279901759043478,0.8869156015826509,-0.3609980623402768,0.6011601885998017
-0.39889239960074735,0.6292807448712651,0.843068213716424,-0.5529507193229825,0.5201490383834426
-0.3314063071395036,0.4945583686251682,0.7794017114466265,-0.8028856083462962,0.47153898514595755
-0.36446815462492743,0.4171232679184063,0.7120364917249774,-0.8495293945939081,0.5053706724735313
-0.39835935840138537,0.3184741568985315,0.6372106057325777,-0.9436143652162126,0.47364853393856393
-0.2856003213866464,0.12618565844999693,0.5365455585862972,-1.269466860133302,0.3858178949893635
-0.2293974370521168,-0.06495709783656338,0.41545231328770144,-1.5270827825291717,0.36065714549485683
-0.23592191404855484,-0.1695420394024327,0.2963844013973544,-1.5015417078717366,0.4084349549862915
-0.21198573881227967,-0.2255042903750144,0.18925467298150628,-1.3509916630472685,0.43322459799935226
-0.19677930739511929,-0.22137826236058974,0.10442644882102685,-1.0697518519427764,0.4775502212548675
