date,macd,macd_signal,macd_histogram
2020-06-19 22:45:00,1.7416908257482646,1.9159177228950404,-0.17422689714677575
2020-06-19 23:00:00,1.6999901567178313,1.8727322096595986,-0.17274205294176737
2020-06-19 23:15:00,1.6200253572585552,1.82219083917939,-0.20216548192083472
2020-06-19 23:30:00,1.47030905731458,1.751814482806428,-0.28150542549184787
2020-06-19 23:45:00,1.3841175510074208,1.6782750964466264,-0.2941575454392056
2020-06-22 01:00:00,1.583208336082862,1.6592617443738735,-0.07605340829101159
2020-06-22 01:15:00,1.966049169562666,1.720619229411632,0.24542994015103403
2020-06-22 01:30:00,2.1670093761970293,1.8098972587687114,0.35711211742831783
2020-06-22 01:45:00,2.1202743885037307,1.8719726847157152,0.24830170378801553
2020-06-22 02:00:00,2.234196841011908,1.9444175159749537,0.28977932503695425
2020-06-22 02:15:00,2.234971448065153,2.0025283023929936,0.23244314567215918
2020-06-22 02:30:00,2.2882852120176267,2.05967968431792,0.22860552769970655
2020-06-22 02:45:00,2.38694089360979,2.125131926176294,0.2618089674334958
2020-06-22 03:00:00,2.5311646795455545,2.206338476850146,0.3248262026954083
2020-06-22 03:15:00,2.56426121063987,2.277923023608091,0.28633818703177916
2020-06-22 03:30:00,2.446097396418736,2.31155789817022,0.13453949824851597
2020-06-22 03:45:00,2.342395292440415,2.317725377024259,0.024669915416155597
2020-06-22 04:00:00,2.496105663483604,2.3534014343161282,0.14270422916747583
2020-06-22 04:15:00,2.746037086227034,2.4319285646983095,0.31410852152872426
2020-06-22 04:30:00,3.089247892237154,2.563392430206078,0.5258554620310756
2020-06-22 04:45:00,3.495247835496002,2.749763511264063,0.7454843242319393
2020-06-22 05:00:00,3.577267758727203,2.915264360756691,0.662003397970512
2020-06-22 05:15:00,3.5449213423560195,3.0411957570765566,0.5037255852794629
2020-06-22 05:30:00,3.2885254737761898,3.0906617004164834,0.1978637733597064
2020-06-22 05:45:00,2.959229275045118,3.0643752153422104,-0.10514594029709246
2020-06-22 06:00:00,2.6419832016799774,2.9798968126097636,-0.3379136109297862
2020-06-22 06:15:00,2.5747165265170224,2.8988607553912153,-0.3241442288741929
