date,atr,macd,macd_signal,macd_histogram,rsi
2017-10-16 06:30:00,-5.697063504726213,-5.700105085351593,-5.699744819526643,-5.70073137113622,0.186467526857328
2017-10-16 06:45:00,-5.697218705185731,-5.700084379010037,-5.699812731423322,-5.700642752897984,0.11522534790364271
2017-10-16 07:00:00,-5.697311483972223,-5.700116686073861,-5.69987352235343,-5.700614269031701,0.004857736361768096
2017-10-16 07:15:00,-5.697413847047563,-5.700045319861969,-5.699907881855137,-5.7005085433181,0.24049878422101095
2017-10-16 07:30:00,-5.697468370112101,-5.700107783678049,-5.69994786221972,-5.700531026769598,-0.05358118368140088
2017-10-16 07:45:00,-5.697600055397158,-5.700211020819067,-5.70000049393959,-5.7005816321907465,-0.18192174889003163
2017-10-16 08:00:00,-5.697708825136237,-5.700269588973147,-5.700054312946301,-5.700586381338115,-0.11542608147272108
2017-10-16 08:15:00,-5.697807123717402,-5.700265335147455,-5.700096517386531,-5.700539923072192,0.02935908935221433
2017-10-16 08:30:00,-5.697668740250139,-5.699952405615057,-5.700067695032237,-5.700255815894089,0.7772781318599853
2017-10-16 08:45:00,-5.697515924298712,-5.699959439109248,-5.700046043847639,-5.700284500572877,0.10377096590768965
2017-10-16 09:00:00,-5.697357812427361,-5.6996980663655386,-5.699976448351219,-5.7000927233255885,0.660097979174028
2017-10-16 09:15:00,-5.697359598257179,-5.699528114576759,-5.699886781596327,-5.700012438291701,0.5888715485894515
2017-10-16 09:30:00,-5.697247777112542,-5.699042468639493,-5.699717919004961,-5.699695654945802,1.2067081850114147
2017-10-16 09:45:00,-5.697084501594093,-5.698906447687284,-5.699555624741425,-5.699721928257128,0.6327132810199223
2017-10-16 10:00:00,-5.696851831887547,-5.698614397566708,-5.699367379306481,-5.699618123571495,0.9541541122163888
2017-10-16 10:15:00,-5.6966736079174805,-5.698034450783776,-5.69910079360194,-5.699304762493105,1.4439203028461973
2017-10-16 10:30:00,-5.696656718227063,-5.6978662097488,-5.698853876831312,-5.6993834382287565,0.8586334423664665
2017-10-16 10:45:00,-5.696716687886557,-5.697615085470797,-5.698606118559209,-5.699380072222858,1.0552545582656543
2017-10-16 11:00:00,-5.696661596474601,-5.697597600633537,-5.698404414974075,-5.699564290970731,0.7366859714775877
2017-10-16 11:15:00,-5.6967833611771095,-5.69764266604476,-5.698252065188212,-5.699761706167816,0.678155314592909
2017-10-16 11:30:00,-5.696845092474952,-5.697775451947143,-5.698156742539998,-5.699989814718414,0.5304527705179366
2017-10-16 11:45:00,-5.696813251996733,-5.698141413798015,-5.698153676791601,-5.700358842317683,0.045288405431006054
2017-10-16 12:00:00,-5.69685123310933,-5.698281548345497,-5.69817925110238,-5.700473402554385,0.35431312423451256
2017-10-16 12:15:00,-5.6968135502326955,-5.698258243176224,-5.698195049517149,-5.700434298970344,0.6159160292040156
2017-10-16 12:30:00,-5.696846106261047,-5.698420972150085,-5.698240234043737,-5.7005518434176174,0.28167589738643256
2017-10-16 12:45:00,-5.696965499256446,-5.698483182706821,-5.698288823776354,-5.700565464241736,0.4358767405139836
2017-10-16 13:00:00,-5.697049345272368,-5.698502140521573,-5.698331487125397,-5.700541758707444,0.5270800195086651
2017-10-16 13:15:00,-5.697178538213069,-5.698589589691822,-5.698383107638682,-5.700577587364409,0.4047702003206861
2017-10-16 13:30:00,-5.697209340688933,-5.698512443873692,-5.698408974885684,-5.700474574299276,0.7134274597806636
2017-10-16 13:45:00,-5.697297384586379,-5.698430938371832,-5.698413367582913,-5.700388676100188,0.7893955154932325
2017-10-16 14:00:00,-5.697292679127202,-5.698274526089292,-5.6983855992841885,-5.700260032116372,0.993466111172251
2017-10-16 14:15:00,-5.697355857043193,-5.698097418590067,-5.698327963145365,-5.700140560755971,1.1287405478396133
2017-10-16 14:30:00,-5.69740371468755,-5.698044920039541,-5.698271354524199,-5.70014467082661,0.9456189196579536
2017-10-16 14:45:00,-5.697450855819574,-5.697969948003999,-5.69821107322016,-5.700129980095108,1.0597559783139034
2017-10-16 15:00:00,-5.697316304932596,-5.698291619915207,-5.698227182559169,-5.700435542667307,0.09242218675963192
2017-10-16 15:15:00,-5.6972589120942025,-5.698591479877695,-5.698300042022875,-5.700662543166089,0.03495148533150555
2017-10-16 15:30:00,-5.697048909075681,-5.69862943379341,-5.698365920376982,-5.7006346187276975,0.5055254720665792
2017-10-16 15:45:00,-5.696926857325384,-5.698630737934604,-5.698418883888506,-5.700582959357367,0.6026801196835724
2017-10-16 16:00:00,-5.696994550243375,-5.698766257804271,-5.69848835867166,-5.700649004443881,0.2948137871993625
2017-10-16 16:15:00,-5.696668335672316,-5.699427837545796,-5.698676254446487,-5.701122688410579,-0.8067344850718381
2017-10-16 16:30:00,-5.6963816334870705,-5.699649134117672,-5.698870830380724,-5.701149409048217,-0.15861758274355933
2017-10-16 16:45:00,-5.696434233148188,-5.699954459563777,-5.699087556217334,-5.701238008657712,-0.3767053477363792
2017-10-16 17:00:00,-5.696493883254005,-5.70027386016457,-5.699324817006781,-5.701320148469057,-0.5076829599633507
2017-10-16 17:15:00,-5.696468215912849,-5.7002777763090675,-5.699515408867239,-5.701133472753097,-0.008023140553839748
2017-10-16 17:30:00,-5.696525438678332,-5.700339240521901,-5.699680175198171,-5.701030170634999,-0.11803261830826957
2017-10-16 17:45:00,-5.696416460653165,-5.700568809154917,-5.69985790198952,-5.7010820124766655,-0.45287741472235127
2017-10-16 18:00:00,-5.6965341199305035,-5.700764522562197,-5.700039226104056,-5.7010964017694095,-0.4857251495243692
